GO_id,GO_description,Pathway,Description,incorrect
GO:0015288,porin activity,Small molecule transport,"Porins, such as VDAC in the outer mitochondrial membrane, are channel proteins that facilitate the transport of small molecules across membranes.",False
GO:0070573,metallodipeptidase activity,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases","Metallodipeptidases are a class of proteases, enzymes involved in protein degradation and processing, which are crucial for mitochondrial protein homeostasis.",False
GO:0030447,filamentous growth,Mitochondrial dynamics and surveillance,"Mitochondrial dynamics (fusion, fission) and morphology are known to influence overall cellular morphology and growth patterns, including filamentous growth, making this the most relevant category for a cellular phenotype influenced by mitochondrial state.",False
GO:0070903,mitochondrial tRNA thio-modification,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications,"This term directly describes a specific modification of mitochondrial tRNA, which is a core process within mtRNA metabolism.",False
GO:0006310,DNA recombination,Mitochondrial central dogma > mtDNA maintenance > mtDNA repair,"DNA recombination is a process of genetic exchange often involved in DNA repair mechanisms, which are essential for maintaining mitochondrial DNA integrity.",False
GO:0031314,extrinsic component of mitochondrial inner membrane,"Protein import, sorting and homeostasis","This term describes a protein component localized to the mitochondrial inner membrane. Its presence and correct localization are governed by protein import and sorting mechanisms, and its stability by protein homeostasis.",False
GO:0001682,tRNA 5'-leader removal,Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing,"This is a specific type of tRNA processing, analogous to 3'-end processing, often occurring during the maturation of mitochondrial tRNAs from polycistronic transcripts.",False
GO:1901612,cardiolipin binding,Metabolism > Lipid metabolism,"Cardiolipin is a unique mitochondrial phospholipid. Proteins that bind cardiolipin interact with this key lipid, placing this function within the broader context of lipid metabolism.",False
GO:0008465,hydroxypyruvate reductase (NADH) activity,Metabolism > Amino acid metabolism > Glyoxylate metabolism,"Hydroxypyruvate reductase is an enzyme involved in the metabolism of glyoxylate, which is closely linked to serine and glycine metabolism within the broader amino acid metabolism.",False
GO:0008483,transaminase activity,Metabolism > Amino acid metabolism,"Transaminases catalyze the transfer of amino groups, a fundamental reaction in the synthesis and degradation of amino acids, many of which occur in mitochondria.",False
GO:1901981,phosphatidylinositol phosphate binding,Metabolism > Lipid metabolism > Phospholipid metabolism,"Phosphatidylinositol phosphates are a class of phospholipids. Proteins binding these lipids are involved in phospholipid-related processes, fitting into phospholipid metabolism.",False
GO:0045454,cell redox homeostasis,Metabolism > Detoxification > ROS and glutathione metabolism,"Mitochondria are central to cellular redox homeostasis, being major producers of reactive oxygen species (ROS) and housing key antioxidant systems like the glutathione system.",False
GO:0035269,protein O-linked glycosylation via mannose,No appropriate pathway,"Similar to N-linked glycosylation, O-linked glycosylation involving mannose is a protein modification. While primarily extra-mitochondrial, the involvement of mannose links it broadly to carbohydrate metabolism.",False
GO:0045046,protein import into peroxisome membrane,"Protein import, sorting and homeostasis > Protein import and sorting","Although this term specifies peroxisomal import, the general process described is 'protein import'. This category represents the overarching mechanism for protein delivery to organelles, including mitochondria, and is the most general fit for the process type.",False
GO:0000321,re-entry into mitotic cell cycle after pheromone arrest,No appropriate pathway,"Mitochondria play a role in regulating cell cycle progression and cellular responses to stress or external cues through various signaling pathways, making 'Signaling' the most appropriate general category.",False
GO:0071256,translocon complex,"Protein import, sorting and homeostasis > Protein import and sorting","Translocon complexes (e.g., TOM, TIM) are fundamental to the import and sorting of proteins into and within mitochondria, making this the direct parent category for such complexes.",False
GO:0000727,double-strand break repair via break-induced replication,Mitochondrial central dogma > mtDNA maintenance > mtDNA repair,"Double-strand break repair is a critical mechanism for maintaining the integrity of DNA. Mitochondria possess their own DNA and repair systems, including mechanisms for double-strand breaks.",False
GO:0044088,regulation of vacuole organization,Mitochondrial dynamics and surveillance > Autophagy,"Vacuoles (lysosomes in mammals) are central to autophagic processes, including mitophagy. Regulation of their organization is essential for proper autophagy.",False
GO:0032038,myosin II heavy chain binding,Mitochondrial dynamics and surveillance > Trafficking,Myosin II is a motor protein involved in cytoskeletal interactions. Mitochondrial movement and positioning (trafficking) within the cell often involve interactions with the cytoskeleton.,False
GO:0034727,piecemeal microautophagy of the nucleus,No appropriate pathway,"This is a specific form of autophagy. While targeting the nucleus, it falls under the general cellular process of autophagy, which is a key mitochondrial surveillance mechanism (mitophagy).",False
GO:0010794,regulation of dolichyl monophosphate biosynthetic process,Metabolism > Lipid metabolism,"Dolichyl monophosphate is a lipid involved in glycosylation. Although not directly mitochondrial, dolichol is a lipid, placing its biosynthesis under general lipid metabolism.",False
GO:0009437,carnitine metabolic process,Metabolism > Metals and cofactors > Carnitine synthesis and transport,"Carnitine is crucial for fatty acid transport into mitochondria. This GO term encompasses the broader metabolism of carnitine, including its synthesis and transport.",False
GO:0071432,obsolete peptide mating pheromone maturation involved in positive regulation of conjugation with cellular fusion,No appropriate pathway,"This GO term describes a process involving pheromones, which are signaling molecules. While not directly mitochondrial signaling, it fits the general 'Signaling' category as the most appropriate top-level pathway.",False
GO:0009636,response to toxic substance,Metabolism > Detoxification,"Mitochondria are central to cellular responses to toxic substances, often involving detoxification pathways and ROS metabolism.",False
GO:0044233,mitochondria-associated endoplasmic reticulum membrane contact site,Mitochondrial dynamics and surveillance > Organelle contact sites,"This term directly describes a specific type of inter-organelle contact site, which is explicitly listed in the hierarchy.",False
GO:0019413,acetate biosynthetic process,Metabolism > Carbohydrate metabolism,"Acetate metabolism is closely linked to acetyl-CoA, a key intermediate in carbohydrate metabolism pathways like pyruvate metabolism and the TCA cycle, which occur in mitochondria.",False
GO:0034982,mitochondrial protein processing,"Protein import, sorting and homeostasis","This term broadly covers the various steps involved in processing mitochondrial proteins, including import, folding, and proteolytic cleavage, which are all aspects of protein homeostasis.",False
GO:0003906,DNA-(apurinic or apyrimidinic site) endonuclease activity,Mitochondrial central dogma > mtDNA maintenance > mtDNA repair,This enzyme activity is crucial for DNA repair. Mitochondria contain their own DNA (mtDNA) and possess specific repair mechanisms.,False
GO:0004150,dihydroneopterin aldolase activity,Metabolism > Metals and cofactors > Tetrahydrobiopterin synthesis,"Dihydroneopterin aldolase is an enzyme involved in the biosynthesis of tetrahydrobiopterin, a critical cofactor.",False
GO:0015744,succinate transport,Small molecule transport > SLC25A family,"Succinate is a small molecule and a TCA cycle intermediate. Its transport across the mitochondrial membrane is typically mediated by mitochondrial carriers, many of which belong to the SLC25A family.",False
GO:0001403,invasive growth in response to glucose limitation,Metabolism,"This describes a complex cellular response to nutrient stress. Metabolic adaptation is fundamental to surviving glucose limitation, making 'Metabolism' the most appropriate general category.",False
GO:0010040,response to iron(II) ion,Metabolism > Metals and cofactors > Iron homeostasis,"Mitochondria play a central role in cellular iron homeostasis, as iron is essential for many mitochondrial proteins (e.g., Fe-S clusters, heme).",False
GO:0009061,anaerobic respiration,Metabolism,"Anaerobic respiration is a metabolic process for energy generation. While OXPHOS refers to aerobic respiration, 'Metabolism' is the broader category encompassing all energy-generating pathways.",False
GO:1902559,3'-phospho-5'-adenylyl sulfate transmembrane transport,Small molecule transport,"This GO term explicitly describes the transmembrane transport of a specific small molecule (PAPS), fitting directly into the 'Small molecule transport' category.",False
GO:0000423,mitophagy,Mitochondrial dynamics and surveillance > Mitophagy,"Mitophagy is the selective degradation of mitochondria by autophagy, a process explicitly listed in the hierarchy.",False
GO:0009098,L-leucine biosynthetic process,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism,"L-leucine is a branched-chain amino acid. Its biosynthesis is a specific process within amino acid metabolism, directly fitting the 'Branched-chain amino acid metabolism' category.",False
GO:0004521,RNA endonuclease activity,Mitochondrial central dogma > mtRNA metabolism,"RNA endonuclease activity is essential for the processing, maturation, and degradation of mitochondrial RNA (mtRNA), which are key aspects of mtRNA metabolism.",False
GO:0006538,L-glutamate catabolic process,Metabolism > Amino acid metabolism > Glutamate metabolism,"L-glutamate catabolism is a specific process within amino acid metabolism, directly fitting the 'Glutamate metabolism' sub-pathway.",False
GO:0004324,ferredoxin-NADP+ reductase activity,Metabolism > Electron carriers,"This enzyme activity is involved in electron transfer, making it an electron carrier within the broader metabolic context.",False
GO:0002151,G-quadruplex RNA binding,Mitochondrial central dogma > mtRNA metabolism,"Binding to G-quadruplex RNA is a function related to the processing, stability, or regulation of mitochondrial RNA, thus falling under mtRNA metabolism.",False
GO:0006402,mRNA catabolic process,Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay,The catabolism of mRNA directly relates to the stability and decay of mitochondrial RNA.,False
GO:0006415,translational termination,Mitochondrial central dogma > Translation,Translational termination is an integral part of the mitochondrial protein synthesis process.,False
GO:0051213,dioxygenase activity,Metabolism,"Dioxygenase activity is a general enzymatic function involved in various metabolic reactions, making 'Metabolism' the most appropriate broad category.",False
GO:2000214,regulation of L-proline metabolic process,Metabolism > Amino acid metabolism > Proline metabolism,"This GO term directly refers to the regulation of L-proline metabolism, which is a specific sub-pathway under amino acid metabolism.",False
GO:0042709,succinate-CoA ligase complex,Metabolism > Carbohydrate metabolism > TCA cycle,"The succinate-CoA ligase complex is a direct component of the TCA cycle, a central pathway in carbohydrate metabolism.",False
GO:0005782,peroxisomal matrix,No appropriate pathway,"While the peroxisomal matrix is a cellular component, its functional relevance to mitochondria often involves inter-organelle communication and contact, which falls under 'Organelle contact sites'.",False
GO:0042736,NADH kinase activity,Metabolism > Metals and cofactors > NAD biosynthesis and metabolism,"NADH kinase activity is directly involved in the interconversion and metabolism of NAD/NADH and NADP/NADPH, which are crucial cofactors.",False
GO:0003690,double-stranded DNA binding,Mitochondrial central dogma > mtDNA maintenance,"Binding to double-stranded DNA in mitochondria is fundamental for processes like mtDNA replication, repair, and nucleoid organization, all falling under mtDNA maintenance.",False
GO:0004673,protein histidine kinase activity,Signaling,"Protein histidine kinase activity represents a type of protein phosphorylation, a fundamental mechanism in cellular signaling pathways.",False
GO:0017061,S-methyl-5-thioadenosine phosphorylase activity,Metabolism,"This enzyme activity is involved in the metabolism of S-methyl-5-thioadenosine, a small molecule, thus fitting into the general 'Metabolism' category.",False
GO:0005093,Rab GDP-dissociation inhibitor activity,Mitochondrial dynamics and surveillance > Trafficking,"Rab GDP-dissociation inhibitor activity regulates Rab GTPases, which are key players in membrane trafficking, including mitochondrial trafficking processes.",False
GO:0005096,GTPase activator activity,Signaling,"GTPase activator activity is a regulatory function that modulates GTPase activity, a common mechanism in various cellular signaling pathways.",False
GO:0017087,mitochondrial processing peptidase complex,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage","The mitochondrial processing peptidase complex is directly responsible for cleaving presequences from proteins imported into the mitochondria, a critical step in protein import and sorting.",False
GO:0140693,molecular condensate scaffold activity,Mitochondrial central dogma,"Molecular condensate scaffold activity is involved in the formation and maintenance of membrane-less organelles like mitochondrial nucleoids and mtRNA granules, which are central to mitochondrial DNA and RNA metabolism, thus fitting under the broad 'Mitochondrial central dogma'.",False
GO:0019829,ATPase-coupled monoatomic cation transmembrane transporter activity,Small molecule transport,"This activity describes an ATPase-driven transporter for monoatomic cations across membranes, which is a fundamental aspect of small molecule transport in mitochondria.",False
GO:0042744,hydrogen peroxide catabolic process,Metabolism > Detoxification > ROS and glutathione metabolism,"The catabolism of hydrogen peroxide is a key process in detoxifying reactive oxygen species, directly fitting into the 'ROS and glutathione metabolism' pathway.",False
GO:0030894,replisome,Mitochondrial central dogma > mtDNA maintenance > mtDNA replication,"The replisome is the protein complex responsible for DNA replication, and in mitochondria, this directly corresponds to mtDNA replication.",False
GO:0030295,protein kinase activator activity,Signaling,"Protein kinase activators are involved in initiating or enhancing cellular signaling cascades, which is a core function of the 'Signaling' category.",False
GO:0042407,cristae formation,Mitochondrial dynamics and surveillance > Cristae formation,"This GO term directly describes the process of forming mitochondrial cristae, which is explicitly listed as a pathway under 'Cristae formation'.",False
GO:0043066,negative regulation of apoptotic process,Mitochondrial dynamics and surveillance > Apoptosis,"This GO term describes the regulation of apoptosis, a process where mitochondria play a central role, and which is explicitly listed as a pathway.",False
GO:0006325,chromatin organization,No appropriate pathway,"While 'chromatin' typically refers to nuclear DNA, the mitochondrial genome is organized into structures called nucleoids. This GO term, in a mitochondrial context, relates to the organization of mtDNA within these nucleoids.",False
GO:0008324,monoatomic cation transmembrane transporter activity,Small molecule transport,"This GO term describes the movement of single-atom positively charged ions across membranes, a fundamental function of various mitochondrial transporters, which falls under the general category of 'Small molecule transport'.",False
GO:0045338,farnesyl diphosphate metabolic process,"Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis","Farnesyl diphosphate is a key intermediate in the biosynthesis of cholesterol and other isoprenoids, which is a specific pathway under 'Lipid metabolism'.",False
GO:0033833,hydroxymethylfurfural reductase (NADH) activity,Metabolism > Detoxification > Xenobiotic metabolism,"Hydroxymethylfurfural reductase activity is involved in the detoxification of xenobiotic compounds, which is a specific function under 'Xenobiotic metabolism'.",False
GO:0098554,cytoplasmic side of endoplasmic reticulum membrane,No appropriate pathway,"While this GO term describes an ER location, the interaction between the ER and mitochondria occurs at 'Organelle contact sites,' which are crucial for mitochondrial function and dynamics.",False
GO:0050661,NADP binding,Metabolism > Metals and cofactors > NAD biosynthesis and metabolism,"NADP is a crucial coenzyme involved in various metabolic reactions, closely related to NAD, and its binding is part of the broader 'NAD biosynthesis and metabolism' pathway.",False
GO:0070006,metalloaminopeptidase activity,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases","Metalloaminopeptidase activity is a type of proteolytic activity, essential for protein processing and degradation within mitochondria, falling under the 'Proteases' category for protein homeostasis.",False
GO:0008053,mitochondrial fusion,Mitochondrial dynamics and surveillance > Fusion,"This GO term directly describes the process of mitochondrial fusion, which is explicitly listed as a pathway.",False
GO:0045041,protein import into mitochondrial intermembrane space,"Protein import, sorting and homeostasis > Protein import and sorting > MIA40","This GO term describes the import of proteins into the mitochondrial intermembrane space, a process largely mediated by the MIA40 pathway.",False
GO:0000747,conjugation with cellular fusion,No appropriate pathway,"While 'cellular fusion' often refers to whole cells, mitochondrial fusion is a critical organelle fusion event within the cell, making 'Fusion' the most appropriate category in the context of mitochondrial dynamics.",False
GO:0007107,membrane addition at site of cytokinesis,No appropriate pathway,"This GO term describes a general cellular process of cell division. While mitochondria are partitioned during cytokinesis, this term does not describe a specific mitochondrial pathway, but broadly relates to how mitochondria are managed during cellular events.",False
GO:0019509,L-methionine salvage from methylthioadenosine,Metabolism > Amino acid metabolism,"This GO term describes a specific metabolic pathway for the salvage of L-methionine, an amino acid, which falls under the general category of 'Amino acid metabolism'.",False
GO:0032467,positive regulation of cytokinesis,No appropriate pathway,"This GO term describes the regulation of cytokinesis, a cellular process during which mitochondria are actively partitioned and their dynamics are influenced, thus broadly relating to 'Mitochondrial dynamics and surveillance'.",False
GO:0017013,protein flavinylation,Metabolism > Vitamin metabolism > Vitamin B2 metabolism,"Protein flavinylation involves the covalent attachment of flavin cofactors (derived from Vitamin B2) to proteins, directly linking it to 'Vitamin B2 metabolism'.",False
GO:0017004,cytochrome complex assembly,OXPHOS > OXPHOS assembly factors,"This GO term describes the assembly of cytochrome-containing complexes, which are integral to the OXPHOS system, and thus falls under the general category of 'OXPHOS assembly factors'.",False
GO:0140300,serine import into mitochondrion,Metabolism > Amino acid metabolism > Serine metabolism,"The import of serine into the mitochondrion is a necessary step for its subsequent metabolism within the organelle, directly supporting 'Serine metabolism'.",False
GO:0022893,low-affinity tryptophan transmembrane transporter activity,Small molecule transport,"This GO term describes the transmembrane transport of tryptophan, an amino acid, which is a specific function of 'Small molecule transport' systems in the mitochondrion.",False
GO:0016031,tRNA import into mitochondrion,Mitochondrial central dogma > mtRNA metabolism,"This process ensures the availability of tRNAs for mitochondrial translation. While not explicitly listed as 'import', it is a critical aspect of mitochondrial RNA metabolism.",False
GO:0052856,NAD(P)HX epimerase activity,Metabolism > Metals and cofactors > NAD biosynthesis and metabolism,"This enzyme activity is directly involved in the metabolism of NAD(P)H, which are essential cofactors, fitting precisely into NAD biosynthesis and metabolism.",False
GO:0003852,2-isopropylmalate synthase activity,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism,"This enzyme is a key component in the biosynthesis pathway of branched-chain amino acids, specifically leucine.",False
GO:0015813,L-glutamate transmembrane transport,Small molecule transport > SLC25A family,"L-glutamate transport across mitochondrial membranes is often mediated by members of the SLC25A family of mitochondrial carriers, making this the most specific fit for transmembrane transport.",False
GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",No appropriate pathway,"This is a nuclear process regulating gene expression. While not directly mitochondrial, it controls the transcription of nuclear genes, many of which encode mitochondrial proteins. 'Signaling' is the most general category for regulatory processes in the hierarchy.",False
GO:0000281,mitotic cytokinesis,No appropriate pathway,"This is a fundamental cellular process of cell division. While not a mitochondrial pathway itself, it is a highly regulated event. 'No appropriate pathway' is the most general category for regulated cellular processes in the hierarchy.",False
GO:0004470,malic enzyme activity,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,"Malic enzyme converts malate to pyruvate, directly contributing to pyruvate metabolism within the broader carbohydrate metabolism.",False
GO:0016460,myosin II complex,No appropriate pathway,"Myosin II is a cytoskeletal component involved in general cellular processes like cell division and motility. While not a mitochondrial complex, its activity is highly regulated. 'Signaling' is the most general category for regulated cellular processes in the hierarchy.",False
GO:0016287,glycerone-phosphate O-acyltransferase activity,Metabolism > Lipid metabolism > Phospholipid metabolism,"This enzyme catalyzes an initial step in the synthesis of phospholipids, directly placing it within phospholipid metabolism.",False
GO:0004619,phosphoglycerate mutase activity,Metabolism > Carbohydrate metabolism > Gluconeogenesis,"This enzyme is involved in both glycolysis and gluconeogenesis. Given the mitochondrial context, its role in gluconeogenesis is a direct fit.",False
GO:0051156,glucose 6-phosphate metabolic process,Metabolism > Carbohydrate metabolism,"Glucose 6-phosphate is a central metabolite in carbohydrate metabolism, involved in multiple pathways including those with mitochondrial connections like gluconeogenesis.",False
GO:0004743,pyruvate kinase activity,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,"Pyruvate kinase produces pyruvate, which is a key substrate for mitochondrial metabolism. Although the enzyme is cytoplasmic, its activity directly feeds into mitochondrial pyruvate metabolism.",False
GO:0000025,maltose catabolic process,No appropriate pathway,"Maltose catabolism is a carbohydrate metabolic process. While not directly mitochondrial, it contributes to the overall cellular carbohydrate pool that can feed into mitochondrial pathways.",False
GO:0006450,regulation of translational fidelity,Mitochondrial central dogma > Translation,"Mitochondria have their own translation machinery, and the regulation of its fidelity is an integral part of the overall translation process within the organelle.",False
GO:0004812,aminoacyl-tRNA ligase activity,Mitochondrial central dogma > Translation > mt-tRNA synthetases,Mitochondria possess their own set of aminoacyl-tRNA ligases (mt-tRNA synthetases) essential for charging tRNAs for mitochondrial protein synthesis.,False
GO:0004816,asparagine-tRNA ligase activity,Mitochondrial central dogma > Translation > mt-tRNA synthetases,"This is a specific type of aminoacyl-tRNA ligase activity, directly falling under the category of mitochondrial tRNA synthetases.",False
GO:0000160,phosphorelay signal transduction system,Signaling,"Phosphorelay systems are a type of signal transduction mechanism, fitting directly into the general 'Signaling' category.",False
GO:0044804,nucleophagy,Mitochondrial dynamics and surveillance > Autophagy,"Nucleophagy is a selective form of autophagy. Although not mitophagy, it is a specific type of autophagy, which is listed under mitochondrial dynamics and surveillance due to its role in cellular quality control.",False
GO:0005776,autophagosome,Mitochondrial dynamics and surveillance > Autophagy,"The autophagosome is the key structure involved in autophagy, a process closely related to mitochondrial quality control and surveillance.",False
GO:0003688,DNA replication origin binding,Mitochondrial central dogma > mtDNA maintenance > mtDNA replication,Mitochondria contain their own DNA (mtDNA) and replicate it. Binding to replication origins is a fundamental step in mtDNA replication.,False
GO:0030488,tRNA methylation,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications,"This process refers to the modification of tRNA molecules, which in the context of mitochondria, are essential for mitochondrial translation and are specifically modified within the organelle.",False
GO:0042626,ATPase-coupled transmembrane transporter activity,Small molecule transport,"This describes a fundamental mechanism of active transport across membranes, crucial for maintaining mitochondrial homeostasis and metabolite exchange, often involving specific small molecule transporters.",False
GO:0160203,mitochondrial disulfide relay system,"Protein import, sorting and homeostasis > Protein import and sorting > MIA40","The mitochondrial disulfide relay system, centered around MIA40, is specifically responsible for the import and oxidative folding of proteins into the mitochondrial intermembrane space.",False
GO:0033512,L-lysine catabolic process to acetyl-CoA via saccharopine,Metabolism > Amino acid metabolism > Lysine metabolism,"This GO term describes a specific catabolic pathway for the amino acid L-lysine, which is a core component of mitochondrial amino acid metabolism.",False
GO:0005319,lipid transporter activity,Small molecule transport,"This describes the movement of lipid molecules across membranes, a process essential for mitochondrial lipid homeostasis and interaction with other organelles, falling under general small molecule transport.",False
GO:0005371,tricarboxylate secondary active transmembrane transporter activity,Small molecule transport > SLC25A family,"This refers to the transport of tricarboxylates, such as citrate, across mitochondrial membranes, which is typically mediated by members of the SLC25A family of mitochondrial carriers, crucial for metabolic exchange.",False
GO:0032984,protein-containing complex disassembly,"Protein import, sorting and homeostasis > Protein homeostasis","The disassembly of protein complexes is a critical aspect of protein quality control and turnover, ensuring proper protein homeostasis within mitochondria by removing damaged or unneeded complexes.",False
GO:0030427,site of polarized growth,No appropriate pathway,"While 'site of polarized growth' describes a cellular location, mitochondria are actively trafficked to and localized at these sites to provide energy, making mitochondrial trafficking a relevant underlying process.",False
GO:0035435,phosphate ion transmembrane transport,Small molecule transport > SLC25A family,"The transport of phosphate ions across the mitochondrial membrane is critical for ATP synthesis and is mediated by specific carriers, typically belonging to the SLC25A family of mitochondrial transporters.",False
GO:0070482,response to oxygen levels,Signaling,"Mitochondria are central to cellular oxygen sensing, and their function, particularly OXPHOS, is directly impacted by and contributes to the cellular response to varying oxygen levels, making it a signaling-related process.",False
GO:0008519,ammonium channel activity,Small molecule transport,"This describes the transport of ammonium ions across membranes, a process that can be relevant to mitochondrial nitrogen metabolism and pH regulation, falling under general small molecule transport.",False
GO:0070150,mitochondrial glycyl-tRNA aminoacylation,Mitochondrial central dogma > Translation > mt-tRNA synthetases,"This describes the specific process of charging mitochondrial glycyl-tRNA with glycine, a function carried out by mitochondrial tRNA synthetases, which are essential for mitochondrial protein translation.",False
GO:0072686,mitotic spindle,No appropriate pathway,"The mitotic spindle is a cellular structure involved in chromosome segregation. While mitochondria are dynamically distributed and segregated during mitosis, the spindle itself is not a mitochondrial pathway or component, making this a general, indirect fit.",False
GO:0002940,tRNA N2-guanine methylation,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications,"This is a specific type of methylation occurring on tRNA molecules, which in mitochondria, contributes to the essential modifications of mt-tRNAs required for proper mitochondrial translation.",False
